oid,nobs,mean_magap_g,mean_magap_r,median_magap_g,median_magap_r,max_magap_g,max_magap_r,min_magap_g,min_magap_r,sigma_magap_g,sigma_magap_r,last_magap_g,last_magap_r,first_magap_g,first_magap_r,mean_magpsf_g,mean_magpsf_r,median_magpsf_g,median_magpsf_r,max_magpsf_g,max_magpsf_r,min_magpsf_g,min_magpsf_r,sigma_magpsf_g,sigma_magpsf_r,last_magpsf_g,last_magpsf_r,first_magpsf_g,first_magpsf_r,meanra,meandec,sigmara,sigmadec,deltajd,lastmjd,firstmjd,period,catalogid,classxmatch,classrf,pclassrf,pclassearly,classearly
ZTF18absggyi,166,15.693992665059,15.3315897752726,15.8627706396161,15.439172080571,16.1285379087424,15.6577596047715,14.7612671596757,14.694319251787,0.346296043697916,0.251231411833475,15.1001845669581,15.5553203867769,15.338631260895,15.6577596047715,15.6997429952227,15.3330869479376,15.8743283659442,15.4443869217253,16.1127565817207,15.6656725041117,14.7664927663834,14.6743569568936,0.355809244076219,0.262775073827224,15.0862546829573,15.5755283956353,15.3298464990282,15.6656725041117,311.523741925904,5.70429495421687,3.85908482337353e-05,5.43971619161755e-05,817.916319499702,59180.1665277998,58362.2502083001,,,,5,0.95616,0.988679945468903,20
ZTF18acurdfi,137,17.5801415839231,16.9570537951144,17.6529451443053,17.0708478808478,18.1071823290204,17.8571780791352,16.6482349247685,16.0766520806004,0.352518575497627,0.403924861856159,17.5444137430007,16.913279495428,16.6482349247685,16.0766520806004,17.5577792926033,17.0548468732776,17.6372615557391,17.1567259660109,18.1359631772164,18.4074889127003,16.6433459454143,16.1308337105899,0.354719653263171,0.450002495352831,17.5143286252984,16.9988965079632,16.6537600259484,16.1308337105899,164.623353543066,1.56635053941606,2.04253619580261e-05,2.68195449956457e-05,718.064178299996,59179.5251389001,58461.4609606001,,,,8,0.715444,0.821518540382385,19
ZTF20abyptpc,73,15.991961479187,15.6972001580631,15.6045999526978,15.396999835968,17.7479991912842,17.8187999725342,14.6166000366211,14.6344995498657,1.21116235981764,0.923474159086762,17.7479991912842,17.1634006500244,14.9345998764038,17.8187999725342,15.9904633546487,15.6775497829213,15.6256732940674,15.40256690979,17.7652282714844,17.6947555541992,14.5855760574341,14.6476039886475,1.21570969915741,0.882104829727693,17.7652282714844,17.1785736083984,14.9411296844482,17.6947555541992,354.670304719178,15.9540347,7.94978437086832e-06,9.76689419530547e-06,79.7939814999991,59178.1545254998,59098.3605439998,,,,12,0.256896,0.628657758235931,19
