oid,comment
ZTF20abyptpc
ZTF20acgigfo,# Nova in M31
ZTF20abxgxjd,# SNIa
ZTF18acurdfi
ZTF18absggyi,# RRL
ZTF18abaqycq
ZTF19aascajb
