name,ra,dec,r_arcsec
WISEAJ175530.00+301326.0,268.87508,30.22383,50.
KUG0303-003,46.45086,-0.17677,50.
IC2974,178.45304,-5.16783,50.
WISEAJ034717.72-082702.9,56.82375,-8.45089,50.
CGCG064-083,152.50105,11.91656,50.
MCG-01-30-038,177.65333,-7.60794, 50.

